Game:   1, Fuel (liter):  737.0, Record_fuel (liter): 737.0, Cost (pay): 22677, Record_cost (pay): 22677, Time (s):    7522, Record_time (s):    7522, Distance (km):   409.86, Record_distance (km):   409.86, Loaders_waiting (s): 14282, Record_loaders_waiting (s): 14282, Dumpers_waiting (s):  2388, Record_dumpers_waiting (s):  2388, Dumpers required: 20, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  12, Fuel (liter):  635.8, Record_fuel (liter): 634.5, Cost (pay): 19356, Record_cost (pay): 19295, Time (s):    7327, Record_time (s):    6465, Distance (km):   368.05, Record_distance (km):   347.21, Loaders_waiting (s):  4401, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2591, Record_dumpers_waiting (s):  1634, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  13, Fuel (liter):  672.0, Record_fuel (liter): 634.5, Cost (pay): 21145, Record_cost (pay): 19295, Time (s):   15634, Record_time (s):    6465, Distance (km):   354.11, Record_distance (km):   347.21, Loaders_waiting (s): 23836, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1064, Record_dumpers_waiting (s):  1064, Dumpers required: 17, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  14, Fuel (liter):  657.9, Record_fuel (liter): 634.5, Cost (pay): 20263, Record_cost (pay): 19295, Time (s):   13317, Record_time (s):    6465, Distance (km):   369.77, Record_distance (km):   347.21, Loaders_waiting (s): 10431, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2811, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  15, Fuel (liter):  663.6, Record_fuel (liter): 634.5, Cost (pay): 20472, Record_cost (pay): 19295, Time (s):   13908, Record_time (s):    6465, Distance (km):   371.60, Record_distance (km):   347.21, Loaders_waiting (s): 11193, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3026, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  16, Fuel (liter):  667.8, Record_fuel (liter): 634.5, Cost (pay): 21669, Record_cost (pay): 19295, Time (s):    6866, Record_time (s):    6465, Distance (km):   371.51, Record_distance (km):   347.21, Loaders_waiting (s):  4589, Record_loaders_waiting (s):  2274, Dumpers_waiting (s): 27002, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  17, Fuel (liter):  627.0, Record_fuel (liter): 627.0, Cost (pay): 18966, Record_cost (pay): 18966, Time (s):    6211, Record_time (s):    6211, Distance (km):   366.94, Record_distance (km):   347.21, Loaders_waiting (s):  2550, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1564, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  18, Fuel (liter):  648.6, Record_fuel (liter): 627.0, Cost (pay): 19821, Record_cost (pay): 18966, Time (s):    8016, Record_time (s):    6211, Distance (km):   371.54, Record_distance (km):   347.21, Loaders_waiting (s):  6599, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2627, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  19, Fuel (liter):  661.0, Record_fuel (liter): 627.0, Cost (pay): 20654, Record_cost (pay): 18966, Time (s):   13171, Record_time (s):    6211, Distance (km):   357.88, Record_distance (km):   347.21, Loaders_waiting (s): 17883, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2460, Record_dumpers_waiting (s):  1064, Dumpers required: 17, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  20, Fuel (liter):  649.0, Record_fuel (liter): 627.0, Cost (pay): 19912, Record_cost (pay): 18966, Time (s):   10892, Record_time (s):    6211, Distance (km):   368.91, Record_distance (km):   347.21, Loaders_waiting (s):  8025, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2944, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  21, Fuel (liter):  665.5, Record_fuel (liter): 627.0, Cost (pay): 20592, Record_cost (pay): 18966, Time (s):   15226, Record_time (s):    6211, Distance (km):   370.27, Record_distance (km):   347.21, Loaders_waiting (s): 12408, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3279, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  22, Fuel (liter):  667.9, Record_fuel (liter): 627.0, Cost (pay): 20267, Record_cost (pay): 18966, Time (s):    6291, Record_time (s):    6211, Distance (km):   389.88, Record_distance (km):   347.21, Loaders_waiting (s):  2540, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3798, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  23, Fuel (liter):  643.5, Record_fuel (liter): 627.0, Cost (pay): 19596, Record_cost (pay): 18966, Time (s):    6841, Record_time (s):    6211, Distance (km):   372.36, Record_distance (km):   347.21, Loaders_waiting (s):  4490, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2822, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  24, Fuel (liter):  651.0, Record_fuel (liter): 627.0, Cost (pay): 19942, Record_cost (pay): 18966, Time (s):    9087, Record_time (s):    6211, Distance (km):   370.99, Record_distance (km):   347.21, Loaders_waiting (s):  7644, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2717, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  25, Fuel (liter):  640.5, Record_fuel (liter): 627.0, Cost (pay): 19476, Record_cost (pay): 18966, Time (s):    7317, Record_time (s):    6211, Distance (km):   370.63, Record_distance (km):   347.21, Loaders_waiting (s):  4680, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2106, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  26, Fuel (liter):  772.4, Record_fuel (liter): 627.0, Cost (pay): 23971, Record_cost (pay): 18966, Time (s):   11567, Record_time (s):    6211, Distance (km):   419.42, Record_distance (km):   347.21, Loaders_waiting (s): 20287, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2741, Record_dumpers_waiting (s):  1064, Dumpers required: 21, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  27, Fuel (liter):  866.3, Record_fuel (liter): 627.0, Cost (pay): 28357, Record_cost (pay): 18966, Time (s):   27352, Record_time (s):    6211, Distance (km):   403.14, Record_distance (km):   347.21, Loaders_waiting (s): 58435, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3656, Record_dumpers_waiting (s):  1064, Dumpers required: 21, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  28, Fuel (liter):  715.8, Record_fuel (liter): 627.0, Cost (pay): 21995, Record_cost (pay): 18966, Time (s):    7617, Record_time (s):    6211, Distance (km):   407.99, Record_distance (km):   347.21, Loaders_waiting (s):  7162, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  6521, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  29, Fuel (liter):  758.8, Record_fuel (liter): 627.0, Cost (pay): 24118, Record_cost (pay): 18966, Time (s):   23013, Record_time (s):    6211, Distance (km):   386.53, Record_distance (km):   347.21, Loaders_waiting (s): 33739, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2047, Record_dumpers_waiting (s):  1064, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  30, Fuel (liter):  654.5, Record_fuel (liter): 627.0, Cost (pay): 20021, Record_cost (pay): 18966, Time (s):    6371, Record_time (s):    6211, Distance (km):   377.80, Record_distance (km):   347.21, Loaders_waiting (s):  4380, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  4856, Record_dumpers_waiting (s):  1064, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  31, Fuel (liter):  676.3, Record_fuel (liter): 627.0, Cost (pay): 21175, Record_cost (pay): 18966, Time (s):   12777, Record_time (s):    6211, Distance (km):   375.54, Record_distance (km):   347.21, Loaders_waiting (s): 11106, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  9067, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  32, Fuel (liter):  647.9, Record_fuel (liter): 627.0, Cost (pay): 19849, Record_cost (pay): 18966, Time (s):    7638, Record_time (s):    6211, Distance (km):   371.16, Record_distance (km):   347.21, Loaders_waiting (s):  6219, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3738, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  33, Fuel (liter):  663.1, Record_fuel (liter): 627.0, Cost (pay): 20415, Record_cost (pay): 18966, Time (s):   12070, Record_time (s):    6211, Distance (km):   371.84, Record_distance (km):   347.21, Loaders_waiting (s): 11138, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2322, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  34, Fuel (liter):  645.9, Record_fuel (liter): 627.0, Cost (pay): 19774, Record_cost (pay): 18966, Time (s):    7670, Record_time (s):    6211, Distance (km):   369.97, Record_distance (km):   347.21, Loaders_waiting (s):  6366, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3315, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  35, Fuel (liter):  662.2, Record_fuel (liter): 627.0, Cost (pay): 20354, Record_cost (pay): 18966, Time (s):   11046, Record_time (s):    6211, Distance (km):   371.53, Record_distance (km):   347.21, Loaders_waiting (s): 11232, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1645, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  36, Fuel (liter):  633.6, Record_fuel (liter): 627.0, Cost (pay): 19313, Record_cost (pay): 18966, Time (s):    7508, Record_time (s):    6211, Distance (km):   365.61, Record_distance (km):   347.21, Loaders_waiting (s):  5081, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2411, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  37, Fuel (liter):  673.1, Record_fuel (liter): 627.0, Cost (pay): 20825, Record_cost (pay): 18966, Time (s):   13386, Record_time (s):    6211, Distance (km):   372.72, Record_distance (km):   347.21, Loaders_waiting (s): 13793, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2474, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  38, Fuel (liter):  635.0, Record_fuel (liter): 627.0, Cost (pay): 19352, Record_cost (pay): 18966, Time (s):    5957, Record_time (s):    5957, Distance (km):   368.77, Record_distance (km):   347.21, Loaders_waiting (s):  3412, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3665, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  39, Fuel (liter):  644.1, Record_fuel (liter): 627.0, Cost (pay): 19648, Record_cost (pay): 18966, Time (s):    8253, Record_time (s):    5957, Distance (km):   368.96, Record_distance (km):   347.21, Loaders_waiting (s):  6876, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1645, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  40, Fuel (liter):  652.7, Record_fuel (liter): 627.0, Cost (pay): 19985, Record_cost (pay): 18966, Time (s):    9089, Record_time (s):    5957, Distance (km):   370.65, Record_distance (km):   347.21, Loaders_waiting (s):  8615, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1910, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  41, Fuel (liter):  643.3, Record_fuel (liter): 627.0, Cost (pay): 19647, Record_cost (pay): 18966, Time (s):    7560, Record_time (s):    5957, Distance (km):   369.39, Record_distance (km):   347.21, Loaders_waiting (s):  6052, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2655, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  42, Fuel (liter):  649.8, Record_fuel (liter): 627.0, Cost (pay): 19863, Record_cost (pay): 18966, Time (s):    8204, Record_time (s):    5957, Distance (km):   370.65, Record_distance (km):   347.21, Loaders_waiting (s):  7705, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1905, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  43, Fuel (liter):  636.9, Record_fuel (liter): 627.0, Cost (pay): 19461, Record_cost (pay): 18966, Time (s):    7847, Record_time (s):    5957, Distance (km):   367.14, Record_distance (km):   347.21, Loaders_waiting (s):  4987, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3404, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  44, Fuel (liter):  684.8, Record_fuel (liter): 627.0, Cost (pay): 21243, Record_cost (pay): 18966, Time (s):   13727, Record_time (s):    5957, Distance (km):   374.61, Record_distance (km):   347.21, Loaders_waiting (s): 16790, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1628, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  45, Fuel (liter):  664.3, Record_fuel (liter): 627.0, Cost (pay): 20490, Record_cost (pay): 18966, Time (s):   15343, Record_time (s):    5957, Distance (km):   369.73, Record_distance (km):   347.21, Loaders_waiting (s): 12860, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1714, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  46, Fuel (liter):  646.7, Record_fuel (liter): 627.0, Cost (pay): 19739, Record_cost (pay): 18966, Time (s):    8740, Record_time (s):    5957, Distance (km):   370.35, Record_distance (km):   347.21, Loaders_waiting (s):  6847, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1965, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  47, Fuel (liter):  662.4, Record_fuel (liter): 627.0, Cost (pay): 20377, Record_cost (pay): 18966, Time (s):   10689, Record_time (s):    5957, Distance (km):   371.79, Record_distance (km):   347.21, Loaders_waiting (s): 11036, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2067, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  48, Fuel (liter):  634.5, Record_fuel (liter): 627.0, Cost (pay): 19302, Record_cost (pay): 18966, Time (s):    6893, Record_time (s):    5957, Distance (km):   367.03, Record_distance (km):   347.21, Loaders_waiting (s):  4763, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1983, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  49, Fuel (liter):  674.4, Record_fuel (liter): 627.0, Cost (pay): 20813, Record_cost (pay): 18966, Time (s):   12680, Record_time (s):    5957, Distance (km):   374.61, Record_distance (km):   347.21, Loaders_waiting (s): 13390, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1906, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  50, Fuel (liter):  657.9, Record_fuel (liter): 627.0, Cost (pay): 20299, Record_cost (pay): 18966, Time (s):   12300, Record_time (s):    5957, Distance (km):   367.42, Record_distance (km):   347.21, Loaders_waiting (s): 11816, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2399, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  51, Fuel (liter):  756.7, Record_fuel (liter): 627.0, Cost (pay): 23206, Record_cost (pay): 18966, Time (s):    8013, Record_time (s):    5957, Distance (km):   423.44, Record_distance (km):   347.21, Loaders_waiting (s): 13237, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2542, Record_dumpers_waiting (s):  1064, Dumpers required: 23, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  52, Fuel (liter):  729.7, Record_fuel (liter): 627.0, Cost (pay): 22355, Record_cost (pay): 18966, Time (s):    8300, Record_time (s):    5957, Distance (km):   413.55, Record_distance (km):   347.21, Loaders_waiting (s):  9430, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  4097, Record_dumpers_waiting (s):  1064, Dumpers required: 23, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  53, Fuel (liter):  690.2, Record_fuel (liter): 627.0, Cost (pay): 21173, Record_cost (pay): 18966, Time (s):    7794, Record_time (s):    5957, Distance (km):   395.07, Record_distance (km):   347.21, Loaders_waiting (s):  6229, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  5671, Record_dumpers_waiting (s):  1064, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  54, Fuel (liter):  719.9, Record_fuel (liter): 627.0, Cost (pay): 22484, Record_cost (pay): 18966, Time (s):   11793, Record_time (s):    5957, Distance (km):   399.62, Record_distance (km):   347.21, Loaders_waiting (s): 11990, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  9380, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  55, Fuel (liter):  670.2, Record_fuel (liter): 627.0, Cost (pay): 20538, Record_cost (pay): 18966, Time (s):    6274, Record_time (s):    5957, Distance (km):   386.62, Record_distance (km):   347.21, Loaders_waiting (s):  4263, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  6085, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  56, Fuel (liter):  649.3, Record_fuel (liter): 627.0, Cost (pay): 19862, Record_cost (pay): 18966, Time (s):    9696, Record_time (s):    5957, Distance (km):   368.95, Record_distance (km):   347.21, Loaders_waiting (s):  8609, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1446, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  57, Fuel (liter):  634.3, Record_fuel (liter): 627.0, Cost (pay): 19335, Record_cost (pay): 18966, Time (s):    8404, Record_time (s):    5957, Distance (km):   365.26, Record_distance (km):   347.21, Loaders_waiting (s):  5627, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2016, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  58, Fuel (liter):  684.9, Record_fuel (liter): 627.0, Cost (pay): 21886, Record_cost (pay): 18966, Time (s):   16244, Record_time (s):    5957, Distance (km):   346.76, Record_distance (km):   346.76, Loaders_waiting (s): 31659, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1658, Record_dumpers_waiting (s):  1064, Dumpers required: 12, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  59, Fuel (liter):  653.6, Record_fuel (liter): 627.0, Cost (pay): 20159, Record_cost (pay): 18966, Time (s):    7484, Record_time (s):    5957, Distance (km):   374.57, Record_distance (km):   346.76, Loaders_waiting (s):  4998, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  7294, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  60, Fuel (liter):  652.4, Record_fuel (liter): 627.0, Cost (pay): 20094, Record_cost (pay): 18966, Time (s):   12867, Record_time (s):    5957, Distance (km):   367.14, Record_distance (km):   346.76, Loaders_waiting (s): 10071, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2872, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  61, Fuel (liter):  639.5, Record_fuel (liter): 627.0, Cost (pay): 19567, Record_cost (pay): 18966, Time (s):    8692, Record_time (s):    5957, Distance (km):   366.61, Record_distance (km):   346.76, Loaders_waiting (s):  6220, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3027, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  62, Fuel (liter):  661.0, Record_fuel (liter): 627.0, Cost (pay): 20549, Record_cost (pay): 18966, Time (s):   13730, Record_time (s):    5957, Distance (km):   362.43, Record_distance (km):   346.76, Loaders_waiting (s): 15460, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2449, Record_dumpers_waiting (s):  1064, Dumpers required: 22, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  63, Fuel (liter):  644.8, Record_fuel (liter): 627.0, Cost (pay): 19700, Record_cost (pay): 18966, Time (s):    6268, Record_time (s):    5957, Distance (km):   374.51, Record_distance (km):   346.76, Loaders_waiting (s):  3003, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  5102, Record_dumpers_waiting (s):  1064, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  64, Fuel (liter):  621.5, Record_fuel (liter): 621.5, Cost (pay): 19096, Record_cost (pay): 18966, Time (s):    8443, Record_time (s):    5957, Distance (km):   354.97, Record_distance (km):   346.76, Loaders_waiting (s):  6547, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  3572, Record_dumpers_waiting (s):  1064, Dumpers required: 22, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  65, Fuel (liter):  686.3, Record_fuel (liter): 621.5, Cost (pay): 21820, Record_cost (pay): 18966, Time (s):   15841, Record_time (s):    5957, Distance (km):   350.60, Record_distance (km):   346.76, Loaders_waiting (s): 30302, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):   858, Record_dumpers_waiting (s):   858, Dumpers required: 12, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  66, Fuel (liter):  657.6, Record_fuel (liter): 621.5, Cost (pay): 20076, Record_cost (pay): 18966, Time (s):    6099, Record_time (s):    5957, Distance (km):   381.62, Record_distance (km):   346.76, Loaders_waiting (s):  3268, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  5075, Record_dumpers_waiting (s):   858, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
